Local Time,Label (Target),Attention,Meditation,Alpha,Beta,Theta,Delta,Gamma,Head Pose,Gaze,Emotion
10:46:09 24/5/2026,Sao nhãng,23,73,47956,16545,236113,842033,3030,Cúi xuống,Liếc phải,Buồn bã
10:46:10 24/5/2026,Sao nhãng,12,70,54436,16578,712651,633712,3625,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:46:11 24/5/2026,Sao nhãng,14,85,53788,15492,643639,1322069,1399,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:46:12 24/5/2026,Sao nhãng,39,83,45619,7999,413966,669964,1535,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:13 24/5/2026,Sao nhãng,27,71,54504,10137,459674,753316,4595,Ngẩng lên,Liếc trái,Khó chịu
10:46:14 24/5/2026,Sao nhãng,17,91,31051,13653,238919,1102727,3531,Quay phải,Liếc xuống,Bình thường
10:46:15 24/5/2026,Sao nhãng,27,68,64840,9006,407868,909314,4444,Cúi xuống,Liếc phải,Buồn bã
10:46:16 24/5/2026,Sao nhãng,30,67,51145,10507,677706,974846,4214,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:17 24/5/2026,Sao nhãng,29,65,51701,3590,387023,1406841,3340,Quay trái,Liếc trái,Khó chịu
10:46:18 24/5/2026,Sao nhãng,21,78,41828,9255,565393,964300,3431,Quay trái,Liếc trái,Buồn bã
10:46:19 24/5/2026,Sao nhãng,40,81,57979,7595,289438,1010173,4173,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:20 24/5/2026,Sao nhãng,24,89,61331,16675,662879,526039,4078,Nhìn thẳng,Nhìn thẳng,Bình thường
10:46:21 24/5/2026,Sao nhãng,25,80,52587,13324,690889,659292,2751,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:46:22 24/5/2026,Sao nhãng,38,68,69085,5396,793333,589907,1930,Quay phải,Liếc phải,Buồn bã
10:46:23 24/5/2026,Sao nhãng,35,75,33698,18769,420632,774317,4073,Quay phải,Liếc phải,Tức giận
10:46:24 24/5/2026,Tập trung,14,81,62125,6724,249672,677789,4272,Ngẩng lên,Liếc trái,Bình thường
10:46:25 24/5/2026,Sao nhãng,18,75,48062,14844,753091,906954,3837,Quay phải,Liếc phải,Khó chịu
10:46:26 24/5/2026,Sao nhãng,28,80,69047,6695,548203,750328,1523,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:27 24/5/2026,Sao nhãng,38,82,68284,9837,345789,1045938,2495,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:28 24/5/2026,Sao nhãng,31,82,40034,8873,390159,890991,2935,Quay phải,Liếc phải,Khó chịu
10:46:29 24/5/2026,Sao nhãng,32,83,25129,9864,334338,1182871,2813,Nhìn thẳng,Nhìn thẳng,Bình thường
10:46:30 24/5/2026,Sao nhãng,34,63,72196,9902,674793,751827,4362,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:46:31 24/5/2026,Sao nhãng,40,76,43516,11548,449221,1062152,4412,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:32 24/5/2026,Sao nhãng,21,79,32020,11602,273662,846390,3045,Quay trái,Liếc trái,Khó chịu
10:46:33 24/5/2026,Sao nhãng,27,78,48502,10137,511743,829097,2296,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:34 24/5/2026,Tập trung,29,94,44396,16821,459783,1029411,1921,Ngẩng lên,Liếc lên,Buồn bã
10:46:35 24/5/2026,Sao nhãng,15,67,38732,14341,496749,1154957,1334,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:46:36 24/5/2026,Sao nhãng,27,66,38311,7473,676926,1164811,4065,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:37 24/5/2026,Sao nhãng,22,68,69873,14174,214482,1416606,3857,Quay phải,Liếc phải,Buồn bã
10:46:38 24/5/2026,Sao nhãng,21,88,50170,11100,345258,880040,3523,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:46:40 24/5/2026,Sao nhãng,35,69,47159,10221,553965,977983,3141,Nhìn thẳng,Nhìn thẳng,Bình thường
10:46:41 24/5/2026,Sao nhãng,31,79,54885,13401,430842,1136503,4527,Cúi xuống,Liếc phải,Bình thường
10:46:42 24/5/2026,Sao nhãng,30,67,56284,6147,259746,1321816,5278,Quay phải,Liếc phải,Khó chịu
10:46:43 24/5/2026,Sao nhãng,29,82,66807,13014,551063,704878,3309,Quay phải,Liếc phải,Buồn bã
10:46:44 24/5/2026,Sao nhãng,34,79,30445,16161,757216,1441432,2566,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:45 24/5/2026,Sao nhãng,32,84,52770,13634,753935,571982,3471,Quay phải,Liếc phải,Buồn bã
10:46:46 24/5/2026,Sao nhãng,32,71,30820,10943,752476,1455431,4006,Quay phải,Liếc phải,Khó chịu
10:46:47 24/5/2026,Tập trung,10,78,51191,10807,756889,1088401,3543,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:48 24/5/2026,Sao nhãng,22,81,51225,11578,366599,608264,5277,Quay trái,Liếc trái,Tức giận
10:46:49 24/5/2026,Sao nhãng,27,80,44241,4318,586898,956634,4399,Quay trái,Liếc trái,Buồn bã
10:46:50 24/5/2026,Sao nhãng,20,66,57692,5131,393197,1095585,4593,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:46:51 24/5/2026,Sao nhãng,27,84,65398,9753,785102,867557,3929,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:46:52 24/5/2026,Sao nhãng,32,88,30101,13107,683398,756925,5049,Quay phải,Liếc phải,Khó chịu
10:46:53 24/5/2026,Sao nhãng,13,77,54881,10973,256667,638571,2931,Quay trái,Liếc trái,Buồn bã
10:46:54 24/5/2026,Sao nhãng,26,88,49418,11791,450667,621863,2827,Quay phải,Liếc phải,Bình thường
10:46:55 24/5/2026,Sao nhãng,33,72,35841,10886,510145,1487399,3275,Ngẩng lên,Liếc trái,Khó chịu
10:46:56 24/5/2026,Sao nhãng,17,62,47415,9568,563384,925979,3216,Quay trái,Liếc trái,Buồn bã
10:46:57 24/5/2026,Sao nhãng,12,77,45118,8640,295467,1241685,4378,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:46:58 24/5/2026,Sao nhãng,18,93,44876,12820,288622,540357,3683,Quay phải,Liếc phải,Bình thường
10:46:59 24/5/2026,Sao nhãng,11,70,63751,18514,367426,868780,3673,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:47:00 24/5/2026,Sao nhãng,18,94,64514,14943,790441,826143,3765,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:47:01 24/5/2026,Sao nhãng,16,88,28341,7452,410962,758956,5031,Cúi xuống,Liếc phải,Buồn bã
10:47:02 24/5/2026,Sao nhãng,35,88,50544,8176,723055,1394931,4123,Quay trái,Liếc trái,Khó chịu
10:47:03 24/5/2026,Sao nhãng,35,79,39993,7345,394560,1360349,3191,Ngẩng lên,Liếc lên,Buồn bã
10:47:04 24/5/2026,Sao nhãng,35,86,66359,12294,318272,1001887,4646,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:05 24/5/2026,Sao nhãng,21,80,63289,16863,689285,703490,4969,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:47:06 24/5/2026,Sao nhãng,28,61,50147,14936,464820,1021372,3300,Quay phải,Liếc phải,Buồn bã
10:47:07 24/5/2026,Sao nhãng,36,66,48805,10338,786428,985492,2832,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:08 24/5/2026,Sao nhãng,20,61,48920,13503,301705,1353613,2739,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:09 24/5/2026,Sao nhãng,26,93,36281,12326,388579,1055838,2666,Quay trái,Liếc lên,Buồn bã
10:47:10 24/5/2026,Sao nhãng,35,92,47158,10511,453062,703275,3926,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:11 24/5/2026,Sao nhãng,24,90,61600,8050,278639,543419,5287,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:47:12 24/5/2026,Sao nhãng,33,85,41498,7186,493941,806350,2177,Ngẩng lên,Liếc trái,Tức giận
10:47:13 24/5/2026,Sao nhãng,18,81,34357,12915,499046,519437,4862,Quay trái,Liếc trái,Buồn bã
10:47:14 24/5/2026,Sao nhãng,38,77,50176,9371,301448,798769,2260,Quay phải,Liếc phải,Buồn bã
10:47:15 24/5/2026,Sao nhãng,36,62,41219,9261,611254,995970,3103,Quay trái,Liếc trái,Bình thường
10:47:16 24/5/2026,Sao nhãng,34,79,62948,16607,542490,1090810,1356,Quay phải,Liếc phải,Khó chịu
10:47:17 24/5/2026,Sao nhãng,32,72,45231,11477,675236,672617,2317,Quay trái,Liếc trái,Buồn bã
10:47:18 24/5/2026,Sao nhãng,31,65,48585,10259,706449,1168095,3641,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:19 24/5/2026,Sao nhãng,11,76,50333,6794,641439,1441381,3784,Quay trái,Liếc trái,Buồn bã
10:47:20 24/5/2026,Sao nhãng,40,90,68096,15921,753297,1249019,2937,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:21 24/5/2026,Sao nhãng,20,95,58191,9421,369392,794307,2003,Quay trái,Liếc trái,Buồn bã
10:47:22 24/5/2026,Sao nhãng,30,84,22719,11858,255531,1381834,4441,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:47:23 24/5/2026,Sao nhãng,16,90,50522,11972,707266,956615,3521,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:24 24/5/2026,Sao nhãng,24,71,30525,9803,396693,710909,2768,Ngẩng lên,Liếc trái,Buồn bã
10:47:25 24/5/2026,Sao nhãng,31,69,35656,10614,419407,1194070,3162,Quay trái,Liếc trái,Khó chịu
10:47:26 24/5/2026,Sao nhãng,19,68,52208,14057,692239,1152671,5316,Quay phải,Liếc xuống,Bình thường
10:47:27 24/5/2026,Sao nhãng,20,75,57248,15191,544838,807510,2723,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:47:29 24/5/2026,Sao nhãng,22,71,72007,14063,585000,1118620,2714,Quay phải,Liếc phải,Khó chịu
10:47:30 24/5/2026,Sao nhãng,29,76,45235,17125,447238,1341413,3212,Quay trái,Liếc lên,Tức giận
10:47:31 24/5/2026,Sao nhãng,12,77,67662,10195,695289,908499,2728,Quay trái,Liếc trái,Buồn bã
10:47:32 24/5/2026,Sao nhãng,12,70,51085,9723,657946,1460587,1961,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:47:33 24/5/2026,Sao nhãng,16,76,39533,14564,419675,1311134,2312,Quay phải,Liếc phải,Bình thường
10:47:34 24/5/2026,Sao nhãng,30,83,38083,11054,518453,528534,4963,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:35 24/5/2026,Sao nhãng,23,70,51325,16555,521383,1469628,4446,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:36 24/5/2026,Tập trung,15,67,58627,6538,291561,1224303,4100,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:37 24/5/2026,Sao nhãng,11,94,42731,15662,604341,776158,3180,Quay phải,Liếc phải,Buồn bã
10:47:38 24/5/2026,Sao nhãng,27,79,69824,15474,676720,847235,4650,Quay trái,Liếc trái,Khó chịu
10:47:39 24/5/2026,Sao nhãng,20,87,52483,14755,638058,989503,4732,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:47:40 24/5/2026,Sao nhãng,28,77,48789,5672,662129,1366043,5055,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:47:41 24/5/2026,Sao nhãng,35,65,35696,6521,509927,1182987,3249,Quay phải,Liếc phải,Khó chịu
10:47:42 24/5/2026,Sao nhãng,24,79,39082,8519,353084,1029984,2522,Quay phải,Liếc phải,Bình thường
10:47:43 24/5/2026,Sao nhãng,36,62,45404,5065,715628,1314181,5159,Quay trái,Liếc trái,Buồn bã
10:47:44 24/5/2026,Sao nhãng,25,74,73554,8453,283861,697523,3166,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:45 24/5/2026,Sao nhãng,29,83,38249,18493,546347,617855,3647,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:47:46 24/5/2026,Sao nhãng,16,72,28750,19382,476123,1437985,2213,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:47:47 24/5/2026,Sao nhãng,20,71,43856,13617,778058,873533,3144,Nhìn thẳng,Nhìn thẳng,Bình thường
10:47:48 24/5/2026,Sao nhãng,19,66,23034,17736,268193,1220201,2052,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:47:49 24/5/2026,Sao nhãng,10,74,34488,14174,570227,950469,4746,Quay phải,Liếc phải,Buồn bã
10:47:50 24/5/2026,Sao nhãng,30,93,60231,14183,272166,658581,4227,Quay trái,Liếc trái,Buồn bã
10:47:51 24/5/2026,Sao nhãng,36,83,57032,16507,574409,649796,4375,Quay trái,Liếc trái,Tức giận
10:48:04 24/5/2026,Sao nhãng,26,85,57666,5312,219565,1199408,2896,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:48:05 24/5/2026,Tập trung,19,87,49179,11777,485293,599133,3178,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:06 24/5/2026,Sao nhãng,19,65,54439,6568,644042,1458830,3321,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:48:07 24/5/2026,Sao nhãng,20,89,47286,11305,257495,1036545,1991,Quay phải,Liếc xuống,Buồn bã
10:48:08 24/5/2026,Sao nhãng,35,73,69543,10003,428081,1476188,5382,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:48:09 24/5/2026,Sao nhãng,10,88,59652,8504,752940,649327,4467,Quay phải,Liếc phải,Buồn bã
10:48:10 24/5/2026,Sao nhãng,28,95,64381,11310,337593,547756,2737,Quay trái,Liếc trái,Khó chịu
10:48:12 24/5/2026,Sao nhãng,36,65,61922,12548,433665,1391143,5474,Quay phải,Liếc phải,Buồn bã
10:48:13 24/5/2026,Sao nhãng,27,80,69577,13235,711130,1243969,1626,Quay trái,Liếc trái,Buồn bã
10:48:14 24/5/2026,Tập trung,32,62,75461,4978,405523,1189281,4161,Cúi xuống,Liếc xuống,Bình thường
10:48:15 24/5/2026,Sao nhãng,24,82,58642,11889,680785,695059,3310,Ngẩng lên,Liếc trái,Buồn bã
10:48:16 24/5/2026,Sao nhãng,29,70,74665,13166,221223,900137,3715,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:17 24/5/2026,Sao nhãng,24,72,67868,6354,409930,993775,3620,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:18 24/5/2026,Sao nhãng,21,86,51053,8509,607650,891749,4614,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:48:19 24/5/2026,Sao nhãng,32,94,61991,10403,202379,1393587,4013,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:20 24/5/2026,Sao nhãng,31,62,50044,12841,787366,1379456,5412,Quay phải,Liếc phải,Khó chịu
10:48:21 24/5/2026,Sao nhãng,32,80,59933,11457,368156,1142849,3705,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:22 24/5/2026,Sao nhãng,36,83,49494,11200,537425,1301319,3750,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:23 24/5/2026,Sao nhãng,40,63,22316,8862,709487,676066,3644,Quay phải,Liếc phải,Tức giận
10:48:24 24/5/2026,Tập trung,13,67,62466,11213,470810,851949,3130,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:25 24/5/2026,Sao nhãng,32,77,68151,11002,342404,1023108,1131,Quay phải,Liếc xuống,Buồn bã
10:48:26 24/5/2026,Sao nhãng,25,92,68615,6981,610831,712615,2470,Quay phải,Liếc phải,Khó chịu
10:48:27 24/5/2026,Sao nhãng,27,85,30325,8051,508699,714954,3723,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:28 24/5/2026,Sao nhãng,11,93,60129,14368,719086,602089,2711,Quay phải,Liếc phải,Bình thường
10:48:29 24/5/2026,Sao nhãng,12,80,70074,2187,374958,1376655,5065,Cúi xuống,Liếc phải,Bình thường
10:48:30 24/5/2026,Sao nhãng,29,92,52627,3145,796717,1017112,4580,Cúi xuống,Liếc phải,Khó chịu
10:48:31 24/5/2026,Sao nhãng,20,68,36306,10060,799001,515791,5643,Quay trái,Liếc trái,Bình thường
10:48:32 24/5/2026,Sao nhãng,36,90,61144,10991,779749,786862,2594,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:33 24/5/2026,Sao nhãng,26,65,36161,10026,521345,1209117,3595,Quay trái,Liếc trái,Khó chịu
10:48:34 24/5/2026,Sao nhãng,12,69,52102,12859,466997,1037030,3297,Quay trái,Liếc trái,Buồn bã
10:48:35 24/5/2026,Sao nhãng,14,94,71028,9390,767030,1038804,4322,Nhìn thẳng,Nhìn thẳng,Bình thường
10:48:36 24/5/2026,Sao nhãng,29,64,48253,4166,692008,1286802,2215,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:48:37 24/5/2026,Sao nhãng,24,73,36227,7559,593184,1054744,3295,Nhìn thẳng,Nhìn thẳng,Bình thường
10:48:38 24/5/2026,Sao nhãng,12,91,34592,13783,575496,1434114,3083,Quay trái,Liếc trái,Buồn bã
10:48:39 24/5/2026,Sao nhãng,16,82,59553,14267,751875,1337139,3576,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:48:40 24/5/2026,Sao nhãng,24,93,62474,11653,226980,1212622,3866,Quay trái,Liếc trái,Buồn bã
10:48:41 24/5/2026,Sao nhãng,32,87,59969,14258,647370,888569,3612,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:48:42 24/5/2026,Sao nhãng,23,77,35865,7691,754434,1355094,4435,Quay trái,Liếc trái,Ngạc nhiên
10:48:43 24/5/2026,Sao nhãng,22,92,47570,6077,473934,543766,2407,Quay phải,Liếc phải,Bình thường
10:48:44 24/5/2026,Sao nhãng,10,90,50734,6616,376366,1012577,4730,Quay phải,Liếc phải,Buồn bã
10:48:45 24/5/2026,Sao nhãng,40,85,58809,18588,775997,695653,4344,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:46 24/5/2026,Sao nhãng,10,84,35049,16024,596980,758831,4272,Quay trái,Liếc trái,Buồn bã
10:48:47 24/5/2026,Sao nhãng,22,76,38162,3980,558001,618622,2889,Quay trái,Liếc trái,Khó chịu
10:48:48 24/5/2026,Sao nhãng,28,60,27028,10284,593132,759707,2217,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:49 24/5/2026,Sao nhãng,31,60,68229,10599,484964,1036300,2922,Quay phải,Liếc phải,Buồn bã
10:48:50 24/5/2026,Sao nhãng,39,68,67079,10075,518769,1359583,3045,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:48:51 24/5/2026,Sao nhãng,29,92,51151,16775,344564,924415,3315,Quay trái,Liếc trái,Buồn bã
10:48:52 24/5/2026,Sao nhãng,22,62,51871,13567,622343,941776,3324,Quay trái,Liếc trái,Bình thường
10:48:53 24/5/2026,Sao nhãng,30,77,59337,16122,434389,1246438,3060,Quay phải,Liếc phải,Khó chịu
10:48:54 24/5/2026,Sao nhãng,37,69,38425,14680,576511,597857,3225,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:48:56 24/5/2026,Sao nhãng,19,90,49455,14190,716608,564983,3239,Quay trái,Liếc trái,Khó chịu
10:48:57 24/5/2026,Sao nhãng,16,94,61741,6134,533538,1314668,4071,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:48:58 24/5/2026,Sao nhãng,13,92,42814,10735,730399,643399,4704,Quay phải,Liếc phải,Buồn bã
10:48:59 24/5/2026,Sao nhãng,20,86,42377,15760,209414,1205283,4859,Quay trái,Liếc trái,Bình thường
10:49:00 24/5/2026,Sao nhãng,18,81,44531,9084,400805,1159643,4647,Quay phải,Liếc phải,Bình thường
10:49:01 24/5/2026,Sao nhãng,23,63,32148,14467,691210,865730,3148,Ngẩng lên,Liếc trái,Buồn bã
10:49:02 24/5/2026,Sao nhãng,36,62,56339,13327,362353,935791,4930,Quay phải,Liếc phải,Khó chịu
10:49:03 24/5/2026,Sao nhãng,30,64,68285,9429,751875,833936,2906,Quay phải,Liếc phải,Buồn bã
10:49:04 24/5/2026,Sao nhãng,35,81,47434,10652,550507,577717,2255,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:05 24/5/2026,Sao nhãng,17,87,71109,4106,662381,831898,1564,Cúi xuống,Liếc phải,Buồn bã
10:49:06 24/5/2026,Sao nhãng,34,63,59752,10402,430821,1074254,3715,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:07 24/5/2026,Sao nhãng,30,75,31810,15078,294267,750850,4791,Quay trái,Liếc trái,Buồn bã
10:49:08 24/5/2026,Sao nhãng,27,79,55956,7511,642286,1451526,2206,Quay trái,Liếc trái,Buồn bã
10:49:09 24/5/2026,Sao nhãng,36,79,55040,11370,502726,1418230,3934,Nhìn thẳng,Nhìn thẳng,Bình thường
10:49:10 24/5/2026,Sao nhãng,27,82,64658,12050,759313,904657,3612,Cúi xuống,Liếc phải,Buồn bã
10:49:11 24/5/2026,Sao nhãng,28,70,72494,18701,720211,1085024,3205,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:12 24/5/2026,Sao nhãng,38,76,52592,7394,428497,579230,3788,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:13 24/5/2026,Tập trung,11,60,53050,9400,340851,606798,4022,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:49:14 24/5/2026,Sao nhãng,39,63,62299,5651,202529,721059,3628,Quay trái,Liếc trái,Bình thường
10:49:15 24/5/2026,Sao nhãng,11,88,37678,11359,226353,801422,3816,Quay trái,Liếc trái,Ngạc nhiên
10:49:16 24/5/2026,Sao nhãng,32,79,48214,8255,589234,542279,3452,Quay trái,Liếc lên,Buồn bã
10:49:17 24/5/2026,Sao nhãng,28,82,41293,6189,799901,742737,2220,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:49:18 24/5/2026,Sao nhãng,39,72,31120,3985,606918,988595,3353,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:19 24/5/2026,Sao nhãng,34,87,47808,9950,653282,1404576,2719,Quay trái,Liếc trái,Buồn bã
10:49:20 24/5/2026,Sao nhãng,36,75,32109,9558,746299,873965,5908,Quay phải,Liếc phải,Buồn bã
10:49:21 24/5/2026,Sao nhãng,30,63,53136,14055,246665,954067,1685,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:22 24/5/2026,Sao nhãng,26,95,22729,8635,636331,1081523,4435,Quay phải,Liếc phải,Khó chịu
10:49:23 24/5/2026,Sao nhãng,40,86,54123,14232,628541,795384,3476,Quay trái,Liếc trái,Buồn bã
10:49:24 24/5/2026,Sao nhãng,15,72,50710,16704,415564,1095054,2421,Quay phải,Liếc phải,Khó chịu
10:49:25 24/5/2026,Sao nhãng,21,91,59503,16271,779467,1378512,3836,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:26 24/5/2026,Sao nhãng,29,73,29460,15481,328374,712983,5246,Nhìn thẳng,Nhìn thẳng,Khó chịu
10:49:27 24/5/2026,Sao nhãng,34,92,47942,14501,371839,729852,2843,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:28 24/5/2026,Sao nhãng,31,66,44479,14292,755303,592219,1738,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:49:29 24/5/2026,Sao nhãng,34,62,51236,15163,313082,1373979,4830,Quay trái,Liếc trái,Buồn bã
10:49:30 24/5/2026,Sao nhãng,38,76,32594,11140,699328,885757,3316,Quay phải,Liếc phải,Buồn bã
10:49:31 24/5/2026,Sao nhãng,26,92,49914,8991,446662,913142,3657,Quay trái,Liếc lên,Khó chịu
10:49:32 24/5/2026,Sao nhãng,35,93,34087,6287,604397,1372892,3018,Quay phải,Liếc xuống,Buồn bã
10:49:33 24/5/2026,Sao nhãng,20,79,37388,7976,362454,868924,2750,Quay trái,Liếc trái,Buồn bã
10:49:34 24/5/2026,Sao nhãng,21,90,61879,15705,652471,1410765,2725,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:49:35 24/5/2026,Sao nhãng,17,94,48483,12656,734884,978626,3909,Quay trái,Liếc trái,Buồn bã
10:49:36 24/5/2026,Sao nhãng,16,78,42121,9688,616981,734921,4118,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:37 24/5/2026,Sao nhãng,25,94,30098,7432,407843,857233,3281,Quay phải,Liếc phải,Ngạc nhiên
10:49:38 24/5/2026,Sao nhãng,14,79,40234,4421,359897,947888,3780,Không tìm thấy mặt,Không tìm thấy mắt,Bình thường
10:49:39 24/5/2026,Sao nhãng,33,75,59885,10243,429243,1019680,2665,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:49:40 24/5/2026,Sao nhãng,15,89,28594,5167,495595,1290081,4279,Quay phải,Liếc phải,Buồn bã
10:49:41 24/5/2026,Sao nhãng,20,79,66777,18511,223502,1327710,4433,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:42 24/5/2026,Sao nhãng,12,70,32353,9026,778347,1477976,4125,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
10:49:43 24/5/2026,Sao nhãng,34,62,41830,10396,318039,1213454,2674,Quay trái,Liếc trái,Bình thường
10:49:44 24/5/2026,Sao nhãng,34,69,50568,13189,548715,973813,2098,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:45 24/5/2026,Sao nhãng,32,63,68486,9950,714506,712386,4620,Cúi xuống,Liếc phải,Khó chịu
10:49:47 24/5/2026,Sao nhãng,10,60,43823,8893,522132,1161066,1318,Quay phải,Liếc phải,Buồn bã
10:49:48 24/5/2026,Sao nhãng,27,78,45638,11581,305339,1109897,4108,Quay trái,Liếc trái,Bình thường
10:49:49 24/5/2026,Sao nhãng,11,69,40545,5855,733991,1035946,2891,Quay phải,Liếc phải,Buồn bã
10:49:50 24/5/2026,Sao nhãng,29,70,35801,8431,441762,1289715,3526,Quay trái,Liếc trái,Khó chịu
10:49:51 24/5/2026,Sao nhãng,15,76,49470,13242,675603,725843,2966,Quay trái,Liếc trái,Bình thường
10:49:52 24/5/2026,Sao nhãng,11,86,67408,7537,630500,634279,2222,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:53 24/5/2026,Tập trung,23,74,66120,11886,548004,639447,3538,Nhìn thẳng,Nhìn thẳng,Buồn bã
10:49:54 24/5/2026,Sao nhãng,34,68,31195,13259,209956,1235536,2735,Quay trái,Liếc lên,Khó chịu
10:49:55 24/5/2026,Sao nhãng,34,82,40221,12472,528272,1027483,2699,Không tìm thấy mặt,Không tìm thấy mắt,Buồn bã
10:49:56 24/5/2026,Sao nhãng,37,68,46536,13651,657945,1040528,5054,Quay trái,Liếc trái,Buồn bã
10:49:57 24/5/2026,Sao nhãng,14,93,40657,13625,567543,1377014,2486,Quay trái,Liếc trái,Khó chịu
10:49:58 24/5/2026,Sao nhãng,13,85,37900,10743,611076,1041415,2560,Ngẩng lên,Liếc trái,Bình thường
10:49:59 24/5/2026,Sao nhãng,39,88,64444,12085,526865,1117809,3690,Quay phải,Liếc xuống,Buồn bã
10:50:00 24/5/2026,Sao nhãng,16,74,55591,16496,365305,682938,4018,Không tìm thấy mặt,Không tìm thấy mắt,Ngạc nhiên
10:50:01 24/5/2026,Sao nhãng,37,72,76149,10277,780741,1081292,2542,Không tìm thấy mặt,Không tìm thấy mắt,Khó chịu
